"date","area_name","area_code","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"2020-02-15","City of London","E09000001",-5,-9,-12,-11,NA,NA
"2020-02-16","City of London","E09000001",-1,-21,-23,-13,NA,NA
"2020-02-17","City of London","E09000001",-3,-2,4,-1,-4,NA
"2020-02-18","City of London","E09000001",-2,-2,-1,-2,-2,NA
"2020-02-19","City of London","E09000001",-7,-4,5,0,-4,NA
"2020-02-20","City of London","E09000001",-7,-7,-11,-3,-3,NA
"2020-02-21","City of London","E09000001",-3,-2,5,-3,-4,NA
"2020-02-22","City of London","E09000001",4,5,11,-3,NA,NA
"2020-02-23","City of London","E09000001",8,1,-4,-13,NA,NA
"2020-02-24","City of London","E09000001",-7,-12,-13,-1,2,NA
"2020-02-25","City of London","E09000001",-1,1,-5,-1,3,NA
"2020-02-26","City of London","E09000001",0,-3,1,-3,6,NA
"2020-02-27","City of London","E09000001",0,-4,-9,-1,4,NA
"2020-02-28","City of London","E09000001",-2,-6,-12,0,0,NA
"2020-02-29","City of London","E09000001",11,3,0,-4,NA,NA
"2020-03-01","City of London","E09000001",22,14,9,10,NA,NA
"2020-03-02","City of London","E09000001",-2,0,-25,-4,4,NA
"2020-03-03","City of London","E09000001",-5,-1,-11,-7,3,NA
"2020-03-04","City of London","E09000001",-6,-5,-7,-5,4,NA
"2020-03-05","City of London","E09000001",-14,-17,-25,-2,1,NA
"2020-03-06","City of London","E09000001",-4,2,5,-5,3,NA
"2020-03-07","City of London","E09000001",2,4,12,-8,NA,NA
"2020-03-08","City of London","E09000001",2,-4,-4,-17,NA,NA
"2020-03-09","City of London","E09000001",-10,-5,-8,-8,-6,NA
"2020-03-10","City of London","E09000001",-14,-5,-17,-10,-2,NA
"2020-03-11","City of London","E09000001",-17,-8,-10,-15,-5,NA
"2020-03-12","City of London","E09000001",-22,-11,-23,-20,-15,NA
"2020-03-13","City of London","E09000001",-29,-15,-30,-27,-23,NA
"2020-03-14","City of London","E09000001",-26,-15,-27,-28,NA,NA
"2020-03-15","City of London","E09000001",-32,-24,-35,-38,NA,NA
"2020-03-16","City of London","E09000001",-40,-20,-42,-40,-38,NA
"2020-03-17","City of London","E09000001",-62,-40,-60,-56,-54,NA
"2020-03-18","City of London","E09000001",-73,-46,-65,-66,-62,NA
"2020-03-19","City of London","E09000001",-78,-47,-74,-70,-63,NA
"2020-03-20","City of London","E09000001",-82,-54,-77,-73,-64,NA
"2020-03-21","City of London","E09000001",-86,-53,-86,-78,NA,NA
"2020-03-22","City of London","E09000001",-85,-67,-86,-81,NA,NA
"2020-03-23","City of London","E09000001",-87,-70,-82,-79,-76,NA
"2020-03-24","City of London","E09000001",-94,-79,-88,-87,-80,NA
"2020-03-25","City of London","E09000001",-95,-82,-88,-90,-85,NA
"2020-03-26","City of London","E09000001",-96,-83,-91,-92,-85,NA
"2020-03-27","City of London","E09000001",-96,-83,-91,-92,-84,NA
"2020-03-28","City of London","E09000001",-95,-74,-93,-92,NA,NA
